Keyboard Config|键盘设置
King's Frame|皇家铠甲
Dragon Frame|龙之铠甲
Absorb Armor|负重装甲
Protect Frame|护心铠甲
General Armor|将军装甲
Perfect Frame|完美铠甲
Valiant Frame|英勇铠甲
Imperial Armor|王者装甲
Holiness Armor|神圣装甲
Guardian Armor|守护装甲
Divinity Armor|圣灵装甲
Ultimate Frame|终极铠甲
Celestial Armor|天国装甲
Blizzard Garment|玄冰衣
Molten Garment|炽热铠
Tempest Garment|感电铠
REVIVAL GARMENT|回生衣
SPIRIT GARMENT|安神衣
STINK FRAME|腥臭铠
D-PARTS ver1.01|Ｄ组件Ｖｅｒ１．０１
D-PARTS ver2.10|Ｄ组件Ｖｅｒ２．１０
PARASITE WEAR:De Rol|寄生防具「迪·洛尔」
PARASITE WEAR:Nelgal|寄生防具「内加尔」
PARASITE WEAR:Vajulla|寄生防具「瓦究拉」
SENSE PLATE|灵感铠
GRAVITON PLATE|重力铠
ATTRIBUTE PLATE|六芒星铠
FLOWEN'S FRAME|弗罗文之铠
CUSTOM FRAME ver.OO|军用铠Ｖｅｒ００
DB'S ARMOR|ＤＢ之铠
GUARD WAVE|波动护甲
DF FIELD|ＤＦ领域
LUMINOUS FIELD|冰光服
CHU CHU FEVER|啾啾发烧友
LOVE HEART|心心铠
FLAME GARMENT|火光铠
VIRUS ARMOR:Lafuteria|细菌防具「拉夫特利亚」
BRIGHTNESS CIRCLE|圣光环
AURA FIELD|奥拉领域
ELECTRO FRAME|电子铠
SACRED CLOTH|圣衣
SMOKING PLATE|烟幕铠
STAR CUIRASS|星之护甲
BLACK HOUND CUIRASS|黑色猎犬胸甲
MORNING PRAYER|黎明祈求
BLACK ODOSHI DOMARU|黑色轻铠
RED ODOSHI DOMARU|红色轻铠
BLACK ODOSHI RED NIMAIDOU|黑系威赤涂桶侧二枚酮
BLUE ODOSHI VIOLET NIMAIDOU|蓝系威紫涂桶侧二枚酮
DIRTY LIFEJACKET|污浊的救生衣
KROE'S SWEATER|克罗艾女士的毛衣
WEDDING DRESS|婚纱礼服
SONICTEAM ARMOR|索尼克小队的制服
RED COAT|红色外套
THIRTEEN|暗杀者的迷彩服
MOTHER GARB|母亲的外套
MOTHER GARB+|母亲的外套＋
DRESS PLATE|女装金属铠
SWEETHEART|甜心铠
IGNITION CLOAK|灼热披风
CONGEAL CLOAK|冰暴披风
TEMPEST CLOAK|感电披风
CURSED CLOAK|咒之披风
SELECT CLOAK|圣洁披风
SPIRIT CUIRASS|安神护甲
REVIVAL CURIASS|回生护甲
ALLIANCE UNIFORM|联盟亲卫队军服
OFFICER UNIFORM|联盟亲卫队上等兵军服
COMMANDER UNIFORM|联盟亲卫队指挥官军服
CRIMSON COAT|真红外套
INFANTRY GEAR|空间机动步兵第３２分队上等兵军服
LIEUTENANT GEAR|空间机动步兵第３２分队中尉军服
INFANTRY MANTLE|空间机动歩兵外套
LIEUTENANT MANTLE|空间机动歩兵中尉外套
Placeholder Armor4|公会铠
SAMURAI ARMOR|浅黄丝威褄取铠
STEALTH SUIT|隐身铠
Barrier|盾
Shield|机械盾
Core Shield|核机械盾
Giga Shield|轻便机械盾
Soul Barrier|魂之盾
Hard Shield|硬机械盾
Brave Barrier|勇者盾
Solid Shield|坚固机械盾
Flame Barrier|火焰盾
Plasma Barrier|雷电盾
Freeze Barrier|寒冰盾
Psychic Barrier|经济盾
General Shield|将军机械盾
Protect Barrier|护心盾
Glorious Shield|光荣机械盾
Imperial Barrier|王者盾
Guardian Shield|守护机械盾
Divinity Barrier|圣灵盾
Ultimate Shield|终极机械盾
Spiritual Shield|灵魂机械盾
Celestial Shield|天国机械盾
INVISIBLE GUARD|透明盾
SACRED GUARD|圣光盾
S-PARTS ver1.16|Ｓ组件Ｖｅｒ１．１６
S-PARTS ver2.01|Ｓ组件Ｖｅｒ２．０１
LIGHT RELIEF|浮光盾
SHIELD OF DELSABER|剑魔之盾
FORCE WALL|魔导盾
RANGER WALL|枪手盾
HUNTER WALL|战士盾
ATTRIBUTE WALL|六芒星盾
SECRET GEAR|机密盾
COMBAT GEAR|格斗盾
PROTO REGENE GEAR|试作型再生机能盾
REGENERATE GEAR|再生机能盾
REGENE GEAR ADV.|改进型再生机能盾
FLOWEN'S SHIELD|弗罗文之盾
CUSTOM BARRIER ver.OO|军用盾Ｖｅｒ００
DB'S SHIELD|ＤＢ之盾
RED RING|红色手镯
TRIPOLIC SHIELD|硅钢盾
STANDSTILL SHIELD|叹息之墙
SAFETY HEART|心心盾
KASAMI BRACER|忍者手甲
GODS SHIELD SUZAKU|四神盾「朱雀」
GODS SHIELD GENBU|四神盾「玄武」
GODS SHIELD BYAKKO|四神盾「白虎」
GODS SHIELD SEIRYU|四神盾「青龙」
HUNTER'S SHELL|猎人之壳
RICO'S GLASSES|莉可的眼镜
RICO'S EARRING|莉可的耳环
BLUE RING|蓝色手镯
YELLOW RING|黄色手镯
SECURE FEET|千里足
PURPLE RING|紫色手镯
GREEN RING|绿色手镯
BLACK RING|黑色手镯
WHITE RING|白色手镯
RESTA MERGE|圣泉增幅盾
ANTI MERGE|状态增幅盾
SHIFTA MERGE|强攻增幅盾
DEBAND MERGE|强体增幅盾
FOIE MERGE|火球增幅盾
GIFOIE MERGE|火墙增幅盾
RAFOIE MERGE|炎狱增幅盾
RED MERGE|炎系增幅盾
BARTA MERGE|冻气增幅盾
GIBARTA MERGE|冰箭增幅盾
RABARTA MERGE|极冰增幅盾
BLUE MERGE|冰系增幅盾
ZONDE MERGE|闪电增幅盾
GIZONDE MERGE|群雷增幅盾
RAZONDE MERGE|雷暴增幅盾
YELLOW MERGE|雷系增幅盾
RECOVERY BARRIER|回复系强化盾
ASSIST  BARRIER|辅助系强化盾
RED BARRIER|炎系强化盾
BLUE BARRIER|冰系强化盾
YELLOW BARRIER|雷系强化盾
PLATINUM RING|铂金手镯
BLACK GEAR|黑色机能盾
WORKS GUARD|ＷＯＲＫＳ盾
RAGOL RING|拉古奥尔手镯
GOLDEN RING|金色手镯
ANTI-DARK RING|御魔手镯
ANTI-LIGHT RING|御圣手镯
MADAM'S BRACELET|女士手镯
GRATIA|优雅盾
TRIPOLIC REFLECTOR|硅钢反射盾
STRIKER PLUS|冲击强化盾
REGENERATE GEAR B.P.|再生机能盾Ｂ．Ｐ
RUPIKA|露芘卡
YATA MIRROR|八咫镜
BUNNY EARS|兔耳发饰
CAT EARS|猫耳发饰
THREE SEALS|封印之盾
GOD'S SHIELD "KOURYU"|四神盾「黄龙」
DF SHIELD|ＤＦ盾
FROM THE DEPTHS|深渊来客
DE ROL LE SHIELD|迪·洛尔·雷之盾
HONEYCOMB REFLECTOR|蜂窝反射盾
EPSIGUARD|厄普西隆之盾
ANGEL RING|天使圆环
UNION GUARD|公会盾
STINK SHIELD|腥臭盾
ELEMENTAL SHIELD|元素盾
GENPEI|源平
Knight/Power|骑士级/攻击
General/Power|将军级/攻击
Ogre/Power|巨人级/攻击
God/Power|天神级/攻击
Priest/Mind|祭司级/精神
General/Mind|将军级/精神
Angel/Mind|天使级/精神
God/Mind|天神级/精神
Marksman/Arm|射手级/命中
General/Arm|将军级/命中
Elf/Arm|妖精级/命中
God/Arm|天神级/命中
Thief/Legs|盗贼级/回避
General/Legs|将军级/回避
Elf/Legs|妖精级/回避
God/Legs|天神级/回避
Digger/HP|地鬼级/ＨＰ
General/HP|将军级/ＨＰ
Dragon/HP|巨龙级/ＨＰ
God/HP|天神级/ＨＰ
Magician/TP|法师级/ＴＰ
General/TP|将军级/ＴＰ
Angel/TP|天使级/ＴＰ
God/TP|天神级/ＴＰ
Warrior/Body|武士级/防御
General/Body|将军级/防御
Metal/Body|金属级/防御
God/Body|天神级/防御
Angel/Luck|天使级/运
God/Luck|天神级/运
Master/Ability|大师级/全能力
Hero/Ability|英雄级/全能力
God/Ability|天神级/全能力
Resist/Fire|抗性/火热
Resist/Flame|抗性/灼热
Resist/Burning|抗性/炽热
Resist/Cold|抗性/冰霜
Resist/Freeze|抗性/冰冻
Resist/Blizzard|抗性/冰暴
Resist/Shock|抗性/电击
Resist/Thunder|抗性/雷电
Resist/Storm|抗性/雷暴
Resist/Light|抗性/光明
Resist/Saint|抗性/神圣
Resist/Holy|抗性/圣洁
Resist/Dark|抗性/暗黑
Resist/Evil|抗性/邪魔
Resist/Devil|抗性/恶魔
All/Resist|全部/抗性
Super/Resist|超级/抗性
Perfect/Resist|完美/抗性
HP/Restorate|ＨＰ/回复
HP/Generate|ＨＰ/再生
HP/Revival|ＨＰ/重生
TP/Restorate|ＴＰ/回复
TP/Generate|ＴＰ/再生
TP/Revival|ＴＰ/重生
PB/Amplifier|ＰＢ/回复
PB/Generate|ＰＢ/再生
PB/Create|ＰＢ/重生
Wizard/Technique|巫师级/魔法
Devil/Technique|恶魔级/魔法
God/Technique|天神级/魔法
General/Battle|将军级/战斗
Devil/Battle|恶魔级/战斗
God/Battle|天神级/战斗
Cure/Poison|中毒预防
Cure/Paralysis|麻痹预防
Cure/Slow|缓慢预防
Cure/Confuse|混乱预防
Cure/Freeze|冰冻预防
Cure/Shock|感电预防
YASAKANI MAGATAMA|八坂琼勾玉
V101|Ｖ１０１
V501|Ｖ５０１
V502|Ｖ５０２
V801|Ｖ８０１
LIMITER|限幅器
ADEPT|超能增幅器
SWORDSMAN LORE|剑士的心得
PROOF OF SWORD-SAINT|剑圣之证
SMARTLINK|灵感之环
DIVINE PROTECTION|神圣守护
Heavenly/Battle|天堂级/战斗
Heavenly/Power|天堂级/攻击
Heavenly/Mind|天堂级/精神
Heavenly/Arms|天堂级/命中
Heavenly/Legs|天堂级/回避
Heavenly/Body|天堂级/防御
Heavenly/Luck|天堂级/运
Heavenly/Ability|天堂级/全能力
Centurion/Ability|百人长/全能力
Friend Ring|友情指环
Heavenly/HP|天堂级/ＨＰ
Heavenly/TP|天堂级/ＴＰ
Heavenly/Resist|天堂级/抗性
Heavenly/Technique|天堂级/魔法
HP/Ressurection|ＨＰ/超生
TP/Ressurection|ＴＰ/超生
PB/Increase|ＰＢ/超生
Immortal/Battle|不朽级/战斗
Centurion/Power|百人长/攻击
Centurion/Arms|百人长/命中
Centurion/Mind|百人长/精神
REFLEX GEAR|反射装甲
GENESIS ARMOR|创世铠甲
State/Maintenance|状态/免疫
Trap/Search|陷阱/探测
V802|Ｖ８０２
GM/Ability|ＧＭ专用/全能力
GM/HP3000|ＧＭ专用/ＨＰ３０００
GM/HP4000|ＧＭ专用/ＨＰ４０００
Centurion/Legs|百人长/回避
Centurion/Body|百人长/防御
Centurion/HP|百人长/ＨＰ
Centurion/Luck|百人长/运
Immortal/Power|不朽级/攻击
Immortal/Arms|不朽级/命中
Immortal/Mind|不朽级/精神
Immortal/Legs|不朽级/回避
Immortal/Body|不朽级/防御
Immortal/HP|不朽级/ＨＰ
Immortal/Luck|不朽级/运
Centurion/Battle|百人长/战斗
PB/Flow|ＰＢ/涌流
HP/Flow|ＨＰ/涌流
TP/Flow|ＴＰ/涌流
Immortal/Ability|不朽级/全能力
BLUE PHANTOM FIELD|蓝色幻影盾
RED PHANTOM FIELD|红色幻影盾
ENERGY STORM|能量风暴盾
RAINBOW SHIELD|彩虹盾
X-PARTS ver3.10|Ｘ组件Ｖｅｒ３．１０
DYNASTY ARMOR|皇朝装甲
BUSINESS JACKET|西装外套
ARCHFIEND ARMOR|魔王铠甲
NINJA SUIT|忍者服
BEHEMOTH ARMOR|巨兽铠甲
MOLTEN RING|熔岩手镯
CATACLYSM SHIELD|大灾变之盾
HAUNTED HELM|闹鬼头盔
RED WINTER HAT|红冬帽
GREEN WINTER HAT|绿冬帽
BLUE WINTER HAT|蓝冬帽
HALLOWED GARMENT|万圣节外衣
D-VIRUS ARMOR|Ｄ因子铠甲
RING OF FIRE|烈焰领域
SHADOW CLOAK|暗影斗篷
V503|Ｖ５０３
V803|Ｖ８０３
Chaos Engine|混沌引擎
Jointparts|耦合中枢
DEAL WITH IT|顺其自然
BAT WING|蝙蝠之翼
WINGS OF LIFE|生命之翼
2ND ANNIVERSARY WINGS|2NDANNIVERSARYWINGS
DEMON WING|恶魔之翼
HELLFIRE SHIELD|地狱火之盾
PROFOUND DARKNESS|深远之暗
SPECTRAL SUIT|幽灵服
ETHEREAL ARMOR|以太铠甲
EVIL AURA|邪恶光环
PRIMAL NEXUS|原初枢纽
CURSED WING|诅咒之翼
VALENTINE WINGS|情人节之翼
GOLDEN BAT WING|黄金蝙蝠之翼
ASTRAL WINGS|星界之翼
PARAGON FRAME|模范铠甲
5TH ANNIVERSARY ARMOR|5周年纪念铠甲
PHANTASMAL FIELD|幻影力场
Parasitic Armor 'Predator'|寄生防具「掠夺者」
VIRIDIA HALO|铬绿光环
GREENILL HALO|翠绿光环
SKYLY HALO|天青光环
BLUEFULL HALO|纯蓝光环
PURPLENUM HALO|淡紫光环
PINKAL HALO|粉红光环
REDRIA HALO|真红光环
ORAN HALO|橙黄光环
YELLOWBOZE HALO|金黄光环
WHITILL HALO|羽白光环
ASTRAL HALO|星界光环
GOLDEN HALO|金色光环
ASTRAL CLOAK|星界斗篷
placeholder ETERNAL NEXUS|占位符 永恒纽带
placeholder armor 3 particle|占位符 铠甲3粒子特效
BLAST GARMENT|爆裂铠
DIVINE FIELD|神圣力场
placeholder RADIANT ARMOR|占位符 光辉铠甲
placeholder armor 7|占位符 铠甲7
placeholder armor 8|占位符 铠甲8
CHAOS HALO|混沌光环
HEAVENLY RESONANCE|天堂共鸣
D-VIRUS SHIELD|Ｄ因子护盾
CRYSTALLIZED WINGS|晶化之翼
PHOENIX WINGS|凤凰之翼
placeholder IMMORTAL WINGS|占位符 不朽之翼
RADIANT RING|光辉手镯
placeholder ANTI HEAL|占位符 反治疗
RASTER SCOPE|光栅瞄准镜
VECTOR SCOPE|矢量瞄准镜
Millennium/HP|千年纪／ＨＰ
Ignis Engine|烈焰引擎
Asteroid Engine|行星引擎
MATRIX SCOPE|矩阵瞄准镜
FORBIDDEN GRIMOIRE|禁忌魔导书
placeholder unit 8|占位符 插件8
placeholder unit 9|占位符 插件9
placeholder unit 10|占位符 插件10
placeholder unit 11|占位符 插件11
placeholder unit 12|占位符 插件12
Protist|原生
A=Beast|变异
Machine|机械
DarkFalz|暗黑
Hit|命中
???|???
Mag|玛古
Varuna|伐楼那
Mitra|密多罗
Surya|苏利耶
Vayu|伐由
Varaha|伐罗珂
Kama|迦摩
Ushasu|乌莎斯
Apsaras|飞天
Kumara|鸠摩罗
Kaitabha|乾达婆
Tapas|塔帕斯
Bhirava|伐罗婆
Kalki|迦尔吉
Rudra|楼陀罗
Marutah|摩娄陀
Yaksa|夜叉
Sita|悉多
Garuda|迦娄罗
Nandin|天竺
Ashvinau|亚希文
Ribhava|梨舞
Soma|苏摩
Ila|翼罗
Durga|杜尔迦
Vritra|布利陀罗
Namuci|那牟西
Sumba|修姆巴
Naga|那迦
Pitri|卑帝利
Kabanda|迦般达
Ravana|罗伐那
Marica|摩利支天
Soniti|音速兔子
Preta|薛荔多
Andhaka|暗陀迦
Bana|伐那
Naraka|奈落迦
Madhu|犸度
Churel|丘利尔
ROBOCHAO|机械查欧
OPA-OPA|欧帕欧帕
PIAN|皮安
CHAO|查欧
CHU CHU|啾啾
KAPU KAPU|卡普卡普
ANGEL'S WING|天使之翼
DEVIL'S WING|恶魔之翼
ELENOR|艾尔诺亚
MARK3|ＭＡＲＫ３
MASTER SYSTEM|ＭＡＳＴＥＲＳＹＳＴＥＭ
GENESIS|ＧＥＮＥＳＩＳ
SEGA SATURN|ＳＥＧＡＳＡＴＵＲＮ
DREAMCAST|ＤＲＥＡＭＣＡＳＴ
HAMBURGER|汉堡包
PANZER'S TAIL|猫尾
DEVIL'S TAIL|恶魔之尾
Deva|提婆
Rati|拉提
Savitri|莎维奇
Rukmin|露珂敏
Pushan|普善
Diwari|帝瓦利
Sato|娑陀
Bhima|比玛
Nidra|尼德拉
Geung-si|僵尸
Recon|爆防机
Tellusis|特拉西斯
Striker Unit|冲击部件
Pioneer|先驱者
Puyo|噗呦
Moro|莫罗
Rappy|拉比
Yahoo!|雅虎
Gael Giel|伽埃尔基埃尔
Agastya|浮游炮
NiGHTS|梦精灵
Twin Sato|双娑陀
DARK CHAO|暗黑查欧
TWIN WRAITH|双生幽灵
Coelum|苍穹
Unknown|未知
Hildebear|狂暴巨猿
Hildeblue|狂暴白猿
Mothmant|吸血巨蚊
Monest|吸血巨蚊巢
Rag Rappy|黄拉比鸟
Al Rappy|蓝拉比鸟
Savage Wolf|狂狼
Barbarous Wolf|狂狼王
Booma|棕狂熊
Gobooma|黄狂熊
Gigobooma|红狂熊
Grass Assassin|巨螳螂
Poison Lily|毒铃兰
Nar Lily|红铃兰
Nano Dragon|翼龙
Evil Shark|绿鲨魔
Pal Shark|紫鲨魔
Guil Shark|狂鲨魔
Pofuilly Slime|冰史莱姆
Pouilly Slime|炎史莱姆
Pan Arms|合体怪
Migium|冰剑怪
Hidoom|火剑怪
Dubchic|傀儡机兵
Garanz|机甲堡垒
Sinow Beat|蓝机忍
Sinow Gold|金机忍
Canadine|电爪
Canane|核心电爪
Delsaber|剑魔
Chaos Sorcerer|混沌法师
Bee R|暗之水晶
Bee L|圣之水晶
Dark Gunner|暗黑炮台
Death Gunner|死亡炮台
Chaos Bringer|混沌骑士
Dark Belra|暗黑巨神像
Claw|爪虫
Bulk|合体爪虫
Bulclaw|合体爪魔
Dimenian|刀魔兵
La Dimenian|刀魔将
So Dimenian|刀魔王
Dragon|赤焰巨龙
De Rol Le|迪·洛尔·雷
Vol Opt|波鲁欧普
Dark Falz|暗黑佛
Container|禁锢之钟
Dubwitch|傀儡操纵器
Gillchic|步行机兵
Love Rappy|爱之拉比
Merillia|毒梅兰
Meriltas|狂梅兰
Gee|姬蜂
Gi Gue|蜂后
Mericarol|红蝎花
Merikle|蓝蝎花
Mericus|绿蝎花
Ul Gibbon|幽猿
Zol Gibbon|泽猿
Gibbles|蛮甲猿
Sinow Berill|森隐雷藏
Sinow Spigell|雾隐雷藏
Dolmolm|青鱿
Dolmdarl|赤鱿
Morfos|暗腐蝶
Recobox|爆防魔箱
Sinow Zoa|湛蓝光武
Sinow Zele|绯红光武
Deldepth|暗黑魔精
Delbiter|暗黑麒麟
Barba Ray|巴尔巴雷
Pig Ray|碧涟虫
Ul Ray|幽涟虫
Gol Dragon|数码冰龙
Gal Gryphon|加尔狮鹫
Olga Flow|奥迦·弗罗文
St Rappy|圣诞拉比
Hallo Rappy|南瓜拉比
Egg Rappy|彩蛋拉比
Ill Gill|恶镰死神
Del Lily|暗铃兰
Epsilon|厄普西隆
Gael|堕天灵
Giel|怵天灵
Epsigard|厄普西盾
Astark|异甲巨螳螂
Yowie|砂岩蜥蜴
Satellite Lizard|沙暴蜥蜴
Merissa A|媚影沙魔·Ａ
Merissa AA|媚影沙魔·ＡＡ
Girtablulu|暗黑魔眼巨花
Zu|巨型火犀鸟
Pazuzu|变异羚角鸟
Boota|变异猪
Ze Boota|狂影变异猪
Ba Boota|巨角变异猪
Dorphon|铁甲战车象
Dorphon Eclair|白垩战车象
Goran|暗黑刀魔
Goran Detonator|暗黑巨魔王
Pyro Goran|暗黑狂刀魔
Sand Rappy|沙地拉比鸟
Del Rappy|暗黑拉比鸟
Saint-Milion|圣魔龙
Saint Million|圣魔龙
Shambertin|沙柏龙
Kondrieu|空间龙
Rathalos|雄火龙
Vaal Hazak|尸套龙
Health recovery fluid.\nRestores HP.\nRestoration is based upon \ndifficulty level.|体力回复液\n使用以后ＨＰ回复\n根据游戏难度，效果会有变化
Health recovery fluid.\nCompletely restores HP.|体力回复液\n使用以后ＨＰ全部回复
Health recovery fluid.\nRestores TP.\nRestoration is based upon \ndifficulty level.|ＴＰ回复液\n使用以后ＴＰ回复\n根据游戏难度，效果会有变化
TP recovery fluid.\nCompletely restores TP.|ＴＰ回复液\n使用以后ＴＰ全部回复
Neutralizes poison in the \nbody.|解毒药\n解除玩家的中毒状态
Removes paralysis from \nthe body.|解痉药\n解除玩家的麻痹状态
Removes all adverse \neffects from the body.|解除玩家身上\n所有的异常状态
Revives a fallen teammate.|复活在附近受伤倒下的队友
The ultimate recovery \nitem that completely \nrestores your HP and any \nnearby teammates' HP.|终极的体力回复液\n使用以后玩家及周\n围队友ＨＰ全回复
Temporarily creates a \nteleport gate to the city.\nAll teammates can use it, \nuntil the creator returns \nthrough it.|开启回到先驱者２号的时空传送门\n使用者自先驱者２号返回后\n传送门消失
Reveals traps that are \nhidden in rooms.|探测场景中暗藏的陷阱
Raises the attack value \nof equipped weapons by 1.\nNo effect if a weapon is \nalready upgraded to the \nmaximum limit.|将使用者正装备的武器\n的附加攻击力提升１\n如果武器已到了它的上限\n则失去效果
Raises the attack value \nof equipped weapons by 2.\nNo effect if a weapon is \nalready upgraded to the \nmaximum limit.|将使用者正装备的武器\n的附加攻击力提升２\n如果武器已到了它的上限\n则失去效果
Raises the attack value \nof equipped weapons by 3.\nNo effect if a weapon is \nalready upgraded to the \nmaximum limit.|将使用者正装备的武器\n的附加攻击力提升３\n如果武器已到了它的上限\n则失去效果
Increase Attack Power \n(ATP) by 2.\nAttribute will not exceed \nclass limit.|将使用者的攻击力提升２\n但是，不能超越使用者的\n能力上限
Increase Mental Strength \n(MST) by 2.\nAttribute will not exceed \nclass limit.|将使用者的精神力提升２\n但是，不能超越使用者的\n能力上限
Increase Evasion Power \n(EVP) by 2.\nAttribute will not exceed \nclass limit.|将使用者的回避力提升２\n但是，不能超越使用者的\n能力上限
Increase Hit Points (HP) \nby 2.\nAttribute will not exceed \nclass limit.|将使用者的ＨＰ提升２\n但是，不能超越使用者的\n能力上限
Increase Technique Points \n(TP) by 2.\nAttribute will not exceed \nclass limit.|将使用者的ＴＰ提升２\n但是，不能超越使用者的\n能力上限
Increase Defense Power \n(DFP) by 2.\nAttribute will not exceed \nclass limit.|将使用者的防御力提升２\n但是，不能超越使用者的\n能力上限
Increase Attack Accuracy \n(ATA) by 2.\nAttribute will not exceed \nclass limit.|将使用者的命中率提升２\n但是，不能超越使用者的\n能力上限
Increase Luck (LCK) by 2.\nAttribute will not exceed \nclass limit.|将使用者的运气提升２\n但是，不能超越使用者的\n能力上限
If the holder dies, the \ndoll will die instead, \nrestoring HP and TP.\nDisappears after one use.|在持有者被击倒时\n交换为替身，\n使ＨＰ/ＴＰ得到回复\n使用一次以后消失
Can be used to learn \ntechnique.\nDisappears after one use.|使用后学会该魔法\n使用一次以后消失
A kit that helps certain \nMags evolve.|玛古变形零件\n对一部分玛古使用的话……
Body part of an enemy.\nIt is said that someone \ncan turn it into a weapon.|敌人身体的一部分\n好像有人可以把它改造成武器……
Blacksmiths known as the \n4 Heavens:\n\nJou'un\nTengai\nDousetsu\nHis apprentice - Kikoku|并称为“四天”的刀匠：\n\n增长\n广目\n多闻\n持国
The 4 swords forged by \nthe 4 Heavens:\n\nSange\nKamui\nAgito\nYasha|“四天”打造的四刀：\n\n散华\n神威\n蛇腭\n夜叉
Jou'un - 1969\nTengai - 1977\nDousetsu - 1981\nKikoku - 2020|增长１９６９\n广目１９７７\n多闻１９８１\n持国２０２０
\tCGRare Divine photon\nthat ravenously\nabsorbs darkness.\nThere is someone who \nneeds this...|\tCG稀有的神圣光子\n贪婪地吸收着黑暗。\n似乎有人在回收这种物品
\tCGRare Darkness Photon \nthat ravenously absorbs light.\nThere is someone who \nneeds this...|\tCG稀有的黑暗光子\n贪婪地吸收着光芒。\n似乎有人在回收这种物品
\tCGManipulator III's\ndefensive parts.\nThere is someone\nwho needs this...|\tCG机械手 III 型的\n防御零件。\n似乎有人在回收这种物品
The secret organization, \nWeapons badge.\nIt looks like there are \nsome ranks listed.|秘密组织的\n武器徽章。\n上面似乎列有一些等级。
A special mag cell obtained\nduring Destiny PSOBB \n6th Anniversary.|在 Destiny PSOBB\n六周年期间获得的\n特殊玛古细胞。
A blueprint that can be used \nto change the appearance of \na FINAL EGG BLASTER.|可以用来改变\n终极爆弹枪外观的\n设计图。
The strange artifact \nradiates energy outwards \nas you hold it. There is \nsomeone who needs this...|当你持有它时，这个奇特的\n人造物会向外辐射能量。\n似乎有人在回收这种物品
A badge rewarded by\ndr. Osto for your efforts.|为了表彰你的努力，\n奥斯托博士奖励的徽章。
\tCGThe mysterious shard\nthat radiates starlight\nas you hold it.\nThere is someone\nwho needs this...|\tCG这枚神秘的碎片\n在你持有它时散发着星光。\n似乎有人在回收这种物品
reserved 4|保留 4
Happy Valentine's Day! \nFrom my heart.|情人节！\n请收下这份心意
This orb can alter the \nappearance of certain \nitems. Obtained during \nDestiny PSOBB 4th \nAnniversary.|这种光珠可以改变某些\n物品的外观。\n在 Destiny PSOBB 4周年\n期间获得。
This orb can transform\nphotons around an \nobject, in order to alter \nits appearance.|这种光珠可以转换\n物体周围的光子，\n以便改变它的外观。
